latitude,longitude,zip_code,total_volume,trees,aggrVolume
40.58693644,-73.82117904,11692,0,2013,0
40.58696663,-73.82110934,11692,0,2013,0
40.58853129,-73.81816183,11692,0,2013,0
40.66213566,-73.81861375,11430,690,37,2160
40.59737472,-73.7385789,11509,0,0,0
40.64764,-73.7549,11422,270,6324,2824
40.58939483,-73.81664902,11692,0,2013,0
40.58480131,-73.82871658,11694,0,3572,0
40.5848784,-73.82853602,11694,0,3572,0
40.58453108,-73.82981136,11694,0,3572,0
40.82578637,-73.95508418,10031,0,2587,0
40.74543789,-73.97001975,10017,0,848,0
40.64787,-73.7546,11422,168,6324,207
40.60712735,-73.77003946,11691,0,5718,0
40.58475,-73.82890278,11694,0,3572,0
40.56608907,-73.93076327,11697,0,30,0
40.82541278,-73.95838639,10031,0,2587,0
40.5661188,-73.93080213,11697,0,30,0
40.64135489,-74.12485492,10310,0,3629,0
40.65443056,-73.87967333,11239,217,988,776
40.79768404,-73.84036802,11356,0,3099,0
40.65065801,-73.87683398,11239,0,988,0
40.63114744,-73.79819754,11693,0,1169,0
40.65071973,-73.87687958,11239,0,988,0
